"ID"	"RT"	"MZ"	"Metabolite name"	"MSMS"	"LabeledID"	"ExchangeNumber"
2	6.03	60.0558	"Guanidine"	"60.04472:179567 60.05585:2623166 60.06372:573545 60.08089:20305"	"33"	"6"
5	1.45	61.0398	"Urea"	"57.34827:1881 61.03988:745204"	NA	NA
6	2.53	61.0398	"Urea_[M+H]+_XSQUKJJJFZCRTK-UHFFFAOYSA-N"	"56.07126:16320 61.03987:8582751"	"23;26"	"4;5"
7	0.8	61.0398	"Unknown"	"54.99939:1746 61.03988:705112"	NA	NA
8	4.29	61.0398	"Unknown"	"56.23954:2004 61.03987:669500 61.04726:16514"	NA	NA
9	1.36	61.0398	"Urea; [M+H]+; HCD (NCE 20-30-40%)"	"51.03302:2290 60.53242:2077 61.01096:25338 61.03985:911239 61.08415:2568"	NA	NA
10	1.28	61.0399	"Unknown"	"54.66692:2212 56.40153:1821 61.03987:572348 61.0844:2634"	NA	NA
11	5.22	61.0399	"Unknown"	"50.30112:1878 52.76081:1965 56.44389:2202 57.48761:1638 61.03988:539970 61.04752:10268 61.23239:2053"	NA	NA
14	7	62.0602	"Ethanolamine_[M+H]+_HZAXFHJVJLSVMW-UHFFFAOYSA-N"	"60.7343:1783 62.06025:198603"	"24;29"	"3;4"
16	8.43	63.0634	"Unknown"	"63.0634:1271113"	NA	NA
22	5.25	66.1155	"Unknown"	"62.08738:30735 64.10154:2144 66.1155:1847847 66.31178:2197"	NA	NA
24	7.6	66.1159	"Unknown"	"62.08733:14400 66.11549:874918"	"37"	"0"
25	5.25	68.1295	"Unknown"	"53.9134:1643 59.13641:1876 66.11547:888228 68.12955:36015"	NA	NA
27	7.6	68.1301	"Unknown"	"50.47272:2358 66.11549:185445 67.03555:2154 68.12967:3876"	NA	NA
29	9.46	70.0652	"Unknown"	"52.8824:2113 53.00228:1958 53.03893:3351 55.04195:30514 66.81576:2168 68.0496:57097 70.06518:1614588"	"54"	"2"
30	6.11	70.0652	"Unknown"	"53.03896:3824 54.03504:1660 55.04189:17623 55.27746:1937 61.3329:1923 68.04955:25962 70.02893:2151 70.06519:528480"	NA	NA
31	7.52	70.0652	"Unknown"	"53.03896:7418 54.03414:2987 55.04192:37256 58.10371:1871 67.52151:1931 68.04961:65230 70.02884:2240 70.06519:1281840 70.14043:4537"	"49"	"2"
34	9.45	72.0777	"Unknown"	"55.05182:3068 55.05452:69527 57.05761:21078 66.502:1791 68.09545:1933 69.056:18108 69.05946:2006 70.06203:11916 72.07767:2652430"	"54"	"0"
